"type","count"
"Religious Institution,Hotlines",1
"Religious Institution,Organization",1
"Religious Organization",391
"Religious Organizations",1140
"Religious Organizations,Info Lines & Services",1
"Resort",25
"Resort / Lodging for Women",1
"Resort / Motel",1
"Resort and Bar",3
"Resort and Campground",1
"Resort/Campsite",1
"Resort/Dsico",1
"Resort/Hotel",2
"Resort/Hotel ",1
"Resort/Motel",1
"Resort/Rental Cottages",3
"Resort/Rental Cottages ",1
"Resorts",22
"Resorts / Guest Houses",1
"Resorts/Hotels/Guest Houses",5
"Resources and References",4
"Restaurant",8813
"Restaurant,Bars/Clubs",1009
"Restaurant,Bars/Clubs,Bathhouses",2
"Restaurant,Bars/Clubs,Business",1
"Restaurant,Bars/Clubs,Cruising Areas",41
"Restaurant,Bars/Clubs,Hotel",32
"Restaurant,Bars/Clubs,Theatre",3
"Restaurant,Baths,Bars/Clubs",1
"Restaurant,Book Store",12
"Restaurant,Book Store,Business",1
"Restaurant,Business",7
"Restaurant,Business,Bars/Clubs",1
"Restaurant,Community Center/Support Group",1
"Restaurant,Cruising Areas",128
"Restaurant,Cruising Areas,Bars/Clubs",3
"Restaurant,Cruising Areas,Erotic Shop",1
"Restaurant,Hotel",170
"Restaurant,Hotel,Bars/Clubs",24
"Restaurant,Hotel,Bars/Clubs,Cruising Areas",2
"Restaurant,Hotel,Cruising Areas",2
"Restaurant,Hotel,Gym",1
"Restaurant,Hotel,Travel Agency",1
"Restaurant,Hotel,Travel Service",2
"Restaurant,Hotel,Travel Service,Bars/Clubs",1
"Restaurant,Hotels",4
"Restaurant,Theatre",6
"Restaurant,Theatre,Bars/Clubs",1
"Restaurant/Bar",12
"Restaurant/Coffeehouse",1
"Restaurant/bar",1
"Restaurants",6749
"Restaurants & Cafes",4316
"Restaurants & Cafes,Bars/Clubs",1
"Restaurants & Cafes,Book Stores or Retail Shops",2
"Restaurants & Cafes,Bookstores/Retail Shops",1
"Restaurants & Cafes,Cruising Areas",3
"Restaurants & Cafes,Erotica",1
"Restaurants and Cafes",9
"Restaurants and Feminist Bookstore",1
"Restaurants/Supper Clubs",2
"Retail Shops",1256
"Retail Shops,Cruisy Areas",1
"Retreat",20
"Retreat / Vacation House",1
"Roller Disco",1
"Room Mate Service",6
"Room-mate Service",1
"Rooming House",3
"Roommate Matching Services",2
"Roommate Service",8
"Rural Communities",3
"Rural Community",1
"Sail Boat Charters",1
"Sailing",1
"Salon Tea",2
"Sauna",2
"Sauna/Gym",1
"Savings Bank",1
"Sea Charters",2
"Sea Cruise",1
"Secretarial Typing Services",3
"Self Defense",5
"Self-Defense",1
"Self-Defense School",2
"Sensuality Store",1
"Service",92
